vin,driver_id,start_timestamp,end_timestamp,daily_rate,region
AKAFQMPZ,DRV_6906,1043801513,1057907329,4716.6,North
PRJOXY3S,DRV_1747,1345732045,,2303.54,South-East
FL9154F3,DRV_8930,1346814018,,3504.67,South-West
CPVKHT46,DRV_9279,1049890860,1057866720,3073.08,South
J877OY7N,DRV_2285,1040544139,1050912138,3793.65,North-West
Z1YNS3BT,DRV1234,1219223551,1221815551,461.12,South
Z37SPN09,DRV_7051,1300683441,1304411087,4992.87,South-East
0MKZ89F6,DRV_4579,1218627835,1233961291,2786.54,East
2P453ALH,DRV_92,1498836276,1501428276,1540.51,South
XKY9EQMB,DRV_8325,1727888954.335,1730480954.322,3882.21,North
5BOV3036,DRV_0889,1440953928,1452531561,2371.52,South
31T6ERQ5,DRV_3337,1019533305,1033450149,4007.44,East
KWEPDMI0,DRV_0444,1203342189,1214684288,2404.33,North
ARXY0DJ4,DRV_3318,1679711470,1680883181,1368.42,West
QZ2EHBBS,DRV_9236,1521969669,1527276851,3356.37,Central
NFSLOPFO,DRV_8855,1020734204,1035746004,2491.12,South-East
0XEMTWKU,DRV_0169,1356120470,1365279975,1346.44,Overseas
AGTSXTHN,DRV_5410,1036293170,1049576354,1643.02,West
G1YFYC8N,DR_1234,1384563209,1387155209,2715.36,East
6IHRUJ9Y,DRV_9489,1384902714,1394905292,3474.06,North
WDULPAES,DRV_1683,1207034656,1211272541,324.34,South-West
KA744D18,DRV_1095,990220338,998246176,3614.54,South-East
9V6ZSMWO,DRV_3962,1261462494,1271496688,739.01,Central
FOASZIXD,DRV_9852,1031752275,1045157446,1527.51,East
APMODOXG,DRV_9398,1356495751,1361429689,4297.89,West
W2V2ANN3,DRV_2875,1345065607,1350366311,4263.03,South-East
2V4FB4BM,DRV_5813,1104926785,1116794421,4037.01,North
O4116SGS,DRV_9337,1280368078,1293191123,2698.96,Overseas
VK94CL4O,DRV_4661,1558486591,1565050086,4680.15,South-West
12HNC0I4,DRV_5157,1137817691,1148369122,717.61,Overseas
E72G528G,DRV_6399,1594553073,1600029856,2507.89,North
BUPCUO7I,DRV_9768,1267892749,1272889501,2847.36,South
K91KEGJ5,DRV_1698,1135102993,1136829489,4350.95,South-West
4CW09K2Y,DRV_1944,1005104170,1013476542,3022.49,Central
EWSQUD2Z,DRV_7257,1177602147,1189107638,2600.85,South-West
0QOJ9N5X,DRV_1719,1063854195,1067566389,4528.45,North-West
GL5XV9CP,DRV_3315,1258454486,1262573394,2990.36,Overseas
6SC3LFQG,DRV_6265,998466774,999394822,2893.58,North-West
NKTT7MUX,DRV_4281,1288894261,1290680073,2905.57,North-East
IWF9THOD,DRV_2596,1324254216,1328523619,1792.57,North
JZEVBDSI,DRV_2821,1052045654,1064422317,1401.16,North
QQ6HZOJX,DRV_7683,1104657235,,3167.05,East
ZF3R5TJ4,DRV_9291,1503899380,1506705958,1194.49,West
2ZVQPK03,DRV_5928,1668961591,,1344.91,South
NYPB8AKZ,DRV_3052,1361539793,1376738555,2196.15,South-West
GJVXJZTL,DRV_9833,1415245479,1426930653,2968.35,North-West
58GEEJGB,DRV_7352,1645118124,1654340653,3658.29,South
HJFLHYKR,DRV_2165,1164735219,,3455.38,North-East
ZKL7KVUJ,DRV_3887,1380930591,1390513662,2999.51,South-West
FVSXCVN6,DRV_2978,1209337229,1211314590,1722.2,South-West
BYXYJL2T,DRV_0671,1425598249,1438843236,4889.09,Overseas
UD0CTY1C,DRV_2821,1561981284,1567078308,4150.75,East
JNPAXXHZ,DRV_2410,1350167199,1352572361,3946.74,West
YWP2JI5Z,DRV_3245,1289466601,1289722627,1855.54,West
PO7WKWVU,DRV_1082,1004585609,1015613875,788.19,South-East
LC1WKX3M,DRV_0311,1509771376,1523025547,3810.34,North
0A50LTTE,DRV_4703,1410501944,1415632998,2911.85,South
W2SEHE2A,DRV_7016,1011673327,1026733113,4470.04,North-West
6UFKY28N,DRV_0915,1590354075,1591566302,2291.49,North
OITBTOBA,DRV_3532,1073937297,1084725016,2342.49,East
48WVMJAE,DRV_6104,1095420083,1106199406,641.73,South
XHGUODI0,DRV_0631,984594219,985964114,1628.73,South-East
O7BAL23I,DRV_9801,1670857369,1686092863,2817.76,North
FAW2J6MT,DRV_4684,1423861265,,1995.81,North-West
YAK3J8WR,DRV_0789,1471735553,1486631809,2003.22,North
7EGPNNHN,DRV_1625,1369639191,1377082160,4817.75,North-East
OFKCGGXP,DRV_8693,1406429187,1420836751,2049.81,North-West
ZCNH3AC7,DRV_7506,1099616280,1113940930,2114.99,West
78FPYA4Q,DRV_6014,1236315889,1244992185,1134.3,South-East
WFEOJGFA,DRV_9320,1088707686,1103398870,3329.77,North-West
NUEUVLD7,DRV_5597,1172150277,1185070818,1114.2,Overseas
97YOFCX7,DRV_4323,1298273546,1307546950,1341.3,South-East
9IFDVBWE,DRV1234,1621230007,1623822007,4567.62,West
677DT1WV,DRV_3672,1187322307,1196829589,3008.67,Overseas
BNXBMCOP,DRV_4980,1031177351,1037067320,3807.41,West
QGDKF0Q8,DRV_3053,1059092325,1071408994,2922.86,Central
AH0FPSZF,DRV_5200,991016229,1001622306,1927.72,South-West
UWYMA3BQ,DRV_6588,1414875247,1429839494,1421.81,West
,DRV_6808,1315837005,1329847814,4051.52,Central
RA81RXYR,DRV_7586,1455865444,1466298636,4804.2,South-West
XEUSX4CQ,DRV_7023,1185101062,1193941787,4495.35,North-East
D8I05391,DRV_3611,1471867689,1476488163,2787.4,South-East
9ENGA01Y,DRV_8603,1588304299,1602967589,3619.03,South-East
MWOX5PJT,DRV_5694,1701251606,1703843606,26.92,West
88ZD46VK,DRV_4133,1467478172,,4523.81,North
4RBPWEL6,DRV_9720,1003215658,1013548744,528.88,West
00000000,DRV_2572,1083224708,1090952176,2311.48,Overseas
0PPX8DY3,DRV_0852,1595026434,1610185123,838.13,West
12345678901234,DRV_6416,1296588144,1299180144,4205.92,North-East
T5XRPTPK,DRV_3946,1608809333,1617780025,4643.66,West
NIBDRNC5,DRV_0565,1297222322,1304008403,409.04,West
G8D2TN20,DRV_6576,1552674571,1563988958,855.7,North
8DF2F5NK,DRV_8616,1580361002,1583946672,927.88,West
NS19ZB1H,DRV_2035,1387747679,1388704342,2470.26,South-East
ZPLN1QVH,DRV_8520,1314894679,1317486679,124.49,North-West
JFW8WU3J,DRV_1724,1229819563,1230677980,4443.88,South-East
7JZC58CU,DRV_1549,1185923240,1190567531,2799.36,South
6R2ZKH09,DRV_0450,1440430391,1453763388,871.63,North-West
U3VQVT3L,DRV_5624,1635912218,1647526605,4692.51,North
DVNFF2WC,DRV_9530,1445445236,1460177790,3212.95,South-East
BPBX2X02,DRV_8221,1112620615,,1760.48,South-West
O0ALEB1N,DRV_6844,1394418249,1408649864,731.2,Central
OQNFC3Y0,DRV_4360,1432170281,1434401084,2953.52,Overseas
8WFXHOEA,DRV_1980,1645050824,1652927700,3268.94,North-East
QXT229Q7,DRV_9097,1443090929,1453671711,2600.28,North
F6BCWFO7,DRV_5741,1171904396,1176647096,4627.56,South-West
,DRV_4188,1315007023,1329549803,487.07,South-East
IAB2YU7Y,DRV_5465,1589632504,1601149866,1084.37,East
8E9E39XX,DRV_4118,1105122249,1107714249,2420.59,North-West
Q4F2X7C4,DRV_7757,1459059335,1463774605,3293.53,West
E7KF05B5,DRV_7343,980742398,995080288,2281.63,South
IYGP2ZES,DRV_7106,1135275678,1138382823,2975.97,South
G4IN18U0,DRV_2366,1300606082,1307227240,3840.17,North-East
Z17YBEX3,DRV_2456,1044625499,1050307947,582.95,North-East
48ADSDQX,DRV_4525,1591898246,1603595448,1698.97,North
32Y35P49,DRV_1834,1236248291,1239755584,2790.01,Central
none,DRV_8039,1486478408,1490852559,2949.57,North-West
6IHRUJ9Y,DRV_4430,1294569651,1303645353,2111.51,North-East
4SRRJIJQ,DRV_2903,1451500443,1465977397,600.3,North-West
IC4WZJTA,DRV_2282,1109582855,1124297719,4905.82,South
V4KFIWKE,DRV_9423,1324783792,1329843698,3172.4,Central
BGWZZEOF,DRV_2963,1068695657,1076936296,3404.27,South-West
1E5J7O6R,DRV_999,1437710958,1440302958,420.15,East
XVAJ2K8X,DRV_0399,1094149902,1101990189,3379.59,West
9VEWZZ83,DRV_0831,1150582973,1163254314,2355.1,East
70TDDYBE,DRV_6956,1567707264,1577482344,1508.88,South-West
N0GLM2H7,DRV_8611,1367320401,1372962854,2183.46,South-East
YJDTTWVK,DRV_5408,1347299536,1352317353,1315.94,North
HOTYUAY7,DRV_1564,1432157437,1435366579,883.19,South-West
AA6Y87QS,DRV_3455,966386030,967134908,4411.95,East
1PZ0EBYF,DRV_4858,1223670425,1229874347,1442.22,East
996GUK80,DRV_1562,1498990712,1510816519,304.79,Overseas
NVEAS838,DRV_2900,1339088303,1354290375,1035.99,South
ADS83GYZ,DRV_1316,1034440028,1037817563,2242.79,South-West
7Z98RI72,DRV_7615,1171910279,1184587602,3408.32,South-East
EBGPVYFS,DRV_1560,1338733305,1352467014,4048.24,South
IHFPWGQM,DRV_9565,1527786892,1543238043,3360.46,Overseas
0XEMTWKU,DRV_0889,1494443205,1500876625,716.96,North-West
14R5P02E,DRV_4934,1735718803,1738310803,464.91,South
H4N26VHU,DRV_1043,1372533676,1380844558,2193.81,North
DANICTV3,DRV_6433,1331568369,1333667145,1440.34,North-West
7Y4GZWDM,DRV_8813,1175584198,1180666171,1338.34,North-East
LBGEQRB6,DRV_1037,1215455869,1227786215,2343.83,North
1JRWSWA2,DRV_9690,1591473444,1603106074,4714.89,North-East
74LOZGUK,DRV_2942,1018458342,1023530407,2336.81,South-East
YFL2PWO9,DRV_2293,1429026506,1437598811,4547.05,North
BQ2N9CWY,DRV_1685,1262815359,1264383693,1499.98,North-West
I7MYEV8N,DRV_1797,1396057756,1403548719,2383.11,North-West
VQAL7JMI,DRV_9603,1300790209,1299460515,2492.06,North
KAP0WZQX,DRV_1701,996166787,,2406.12,South-West
CBCIFL79,DRV_9325,1133479711,,4228.22,East
Z50VQ2FI,DRV_3540,1265134106,1270785960,872.94,West
YP7VNSGO,DRV_7673,1697352797,,1954.49,East
7DDJ7NRB,DRV_5980,1548224539,1556140921,669.06,Overseas
LAQ665DL,DRV_1247,1137511836,1141719932,1754.63,North-West
WU0XD5S9,DRV_1954,1344546429,1354461630,713.27,North-West
X92QD3RH,DRV_6235,1538035801,1548375081,2884.58,South-West
QAU2UEGD,DRV_6386,1555294101,,4136.56,South
J7IVK0GO,DRV_4836,991716547,997094065,4408.46,West
NE1D6ZNA,DRV_6927,1578450148,1582477205,2611.27,South-West
MPCEM8ML,DRV_3477,1345224588,1349938129,2432.53,North-West
J0RYY4GI,DRV_3720,1449945237,1456583414,2821.7,North-West
9UU5R17P,DRV_5274,1033822814,1045532231,4278.68,Central
RW4B66T1,DRV_9989,1584738756,1596069018,3791.14,Central
BTUFDOAP,DRV_3776,1086355547,1093528236,4206.76,South-West
A3GG11VU,,1409721090,1412313090,650.42,North
S23OKJEG,DRV_3333,1583928328,1589219715,984.46,North-West
K8YBF6BL,DRV_1588,1409678822,1417059575,4315.0,North
1KP2GVPG,DRV_8599,1476124948,,1116.46,South-East
07XGD20Y,DRV_2312,1486017087,1500674990,2263.37,Overseas
IZN078IK,DRV_5525,1530214688,1530533662,3349.73,South-East
PGSRMWF2,DRV_6792,1065352363,1068779830,1918.5,West
DEQ5EN7H,DRV_4746,1641096989,1652336388,2267.23,Overseas
0AXTDM7D,DRV_9351,1340804312,1342111720,2014.26,North
YT97NCSW,DRV_8695,1391181957,1392282352,1585.2,South-West
EHW9RH3L,DRV_2463,1598618783,1609645660,4910.09,East
F3J9LHEP,DRV_6443,1026460580,1037932945,4669.07,East
HU63RXWM,DRV_7486,1164939733,1171888834,4838.68,North
ELZAWR7Z,DRV_9800,1431037971,1441564060,4912.73,West
5WSEVI9V,DRV_8665,1135504248,1139911860,2209.49,South-West
4BWKTQTH,DRV_3146,1160126753,1164494279,2420.29,Overseas
V0TCKC70,DRV_3377,1051245858,1059694549,1295.86,North-East
AGWIX78R,DRV_2735,988746013,990247717,4943.04,South-West
OQYQ33PO,DRV_6455,not-a-date,1511672913,4583.85,West
PX1PSAI7,DRV_1767,1111131824,1124262298,2804.16,West
06UFX75W,DRV_3008,1123484270,1125305200,4774.91,North-West
XAJMK4X1,DRV_3015,1243586646,1258237978,3868.03,West
NBF31XFN,DRV_0101,1045173789,1056590373,2753.75,North-West
DPU5T4CY,DRV_8484,1730475627,1733067627,170851.35,North
Y4RGPMC5,DRV_1797,1540255249,1545278192,4864.44,North-East
HM6E933Q,DRV_9042,1294034170,1307601339,4747.94,South-East
1S71EUUL,DRV_9494,1369716806,,2039.41,South
00000000,DRV_0806,1327762208,1342602068,4601.69,North-East
3CQ1DQ92,DRV_1351,1167375737,1182369440,430.31,Central
S8ERKD0R,DRV_8174,1602187577,1614021292,1663.24,North-East
OD9GEVGU,DRV_7474,1526219943,1539240520,2480.2,South
ILRIOU3W,DRV_8275,1677001143,1688824878,1468.43,South-East
49GGGCES,DRV_0394,1053621030,1061909955,2954.9,South-East
7DG3JZPA,DRV_7667,1510669030,1520441081,4292.73,East
HTL8SB85,DRV_5107,1328668827,1341779442,4261.69,South
HCUJLC1L,DRV_2122,1198387508,1209370226,833.35,North-East
ROCW1YJZ,DRV_7693,1393353371,,1465.32,East
8QTYW45K,DRV_7645,1641809076,1646917428,3395.56,East
C46ECQJQ,DRV_2955,1149202308,,3123.06,Overseas
null,DRV_4542,1346851667,1347629005,1645.13,South-West
4FBL98K0,DRV_2787,1348593159,,1050.0,East
N0GLM2H7,DRV_8840,1008213870,1014515495,821.69,North-West
SMFGHEE1,DRV_4606,1045860545,1057618464,618.21,East
,DRV_8826,1350225153,1315170041,452.14,South-West
DQE05LVP,DRV_1259,1163120190,1164576510,1702.46,South-West
H3UXE0IZ,DRV_8996,1088244764,1099499948,1630.88,North-West
BX1I384Q,DRV_4667,1262390393,1276602637,4480.88,West
SFHXAD3T,drv_1234,1275160514,1277752514,3498.06,Central
GDKB2APP,DRV_6357,1339930044,1348658608,3223.54,Overseas
2BDOPTR7,DRV_4224,1400628908,1407872374,4068.12,North-East
19NR2I2J,DRV_7233,1592019833,,3974.79,South-West
ZV3T9APZ,DRV_0576,1219099333,1225588323,759.75,Overseas
,DRV_3872,1133899872,1716443860,3169.44,South-East
FBZ0R9QY,DRV_8862,1594171215,,4982.67,South
677DT1WV,DRV_2504,1635144975,1648949502,3223.78,South-East
6S2QM8VZ,DRV_0793,1160534433,,926.04,North-East
Z8JPM9QE,DRV_5551,965716480,975332559,2680.96,South
V6N1QDKJ,DRV_4416,1341435801,1342368921,1743.75,North-West
BMW961MT,DRV_3503,1532987241,1534958251,2555.05,North-West
7WG8V961,DRV_2843,1265385493,1268625924,624.44,East
KLEKQGW1,DRV_9966,1312009744,1321909895,1261.49,North-West
HULQ0BNP,DRV_4609,1392695828,,4747.84,Central
CLVEZSLM,DRV_4106,1031177100,1038467971,918.86,Central
PP7R93FE,DRV_2600,1295876836,1306031489,1759.88,North
W46S7PO0,DRV_0562,1090410467,1094441022,4867.0,South
EDW3T6U5,DRV_4561,1545882661,,1750.27,North-West
329P6X7Z,DRV_6307,1224327861,1237739461,2944.65,South-West
YDG1KI17,DRV_0433,1468897676,1483289282,854.26,South-West
PLED0Z4Z,DRV_8099,1455714651,1469466230,803.79,South-East
YQ18G75E,DRV_4344,1459460469,1459905221,920.89,West
KBG0IM28,DRV_8918,1081337726,1088516678,3603.38,Overseas
75XTUCXG,DRV_3699,1633277606,,314.21,North-West
F6I13G9O,DRV_3277,1260354556,1262742755,2722.03,South
MJYGQ6ZC,DRV_7524,1331111930,,4532.61,East
LIFI3OSH,DRV_3270,1400774598,1412338705,1904.89,Central
4BCQ6TJY,DRV_0392,1009535610,,4130.62,Central
X3H8N4YT,DRV_1460,1426687847,1424657321,2860.61,South
40JAG5AI,DRV_7422,1644792867,1654345783,4282.97,North-East
XQ101DBA,none,1249703673,1252295673,3250.49,South-East
D2SW24WJ,DRV_3375,980011385,982603385,757860.96,South
9Z25UCRF,DRV_7406,1646349323,1652981720,4666.77,North-West
HCBN9WSZ,DRV_6410,1182746709,1187512887,2837.1,Central
JJY94H4K,DRV_8029,1127707357,1132339122,3360.02,North
I7QS186L,DRV_5805,1193963672,1206461916,4001.94,Central
KSVTL6M7,DRV_8936,1228054066,1242216171,315.89,South
7UGI9BAO,DRV_0911,1006787923,1021392028,4220.9,South-West
X5IQ8KNJ,DRV_9598,1220485729,,1044.67,South-East
RBAB7JFQ,DRV_5282,1463104401,1466780339,789.83,South-West
86UTIOS5,DRV_0482,1285373523,1293153391,2179.64,South
0CORUH2I,DRV_3341,987068613,,2719.93,North-East
ELZAWR7Z,DRV_4424,1503131710,1503505540,4858.56,South-West
BK1ONAX0,DRV_0352,1093441076,1097800136,3955.68,South-West
PVARKCPW,DRV_4208,1042986922,,3813.87,North
8XHN29E9,DRV_5013,1666966461,1676528542,2280.01,East
14DYMWPF,DRV_7780,1343031461,1355443187,1445.86,West
QAVV3US3,DRV_7447,1362721844,1368213300,4512.03,South
LY2RKJ2L,DRV_0128,1353650027,1366292944,4777.28,Overseas
9YUV3FJE,DRV_6754,1054543981,1068006676,2397.55,Central
0V2MEA19,DRV_3518,1103874561,1110740585,1282.03,North
XPHX2KBV,DRV_9788,1332528018,1343886227,4087.22,North
LI8ZSFH4,DRV_6630,1302211449,1311975101,4799.87,South
GTNOBC2F,DRV_7280,1434132639,1436033834,2807.59,Central
F49CK6QZ,DRV_2878,1382548849,1393124373,688.13,North-East
3YSKHY6H,DRV_9018,1081691004,1090189656,2138.67,North
KOH6V47J,DRV_5193,1420632169,1423588267,4106.45,West
I9ZF3XIZ,DRV_1576,1568222221,1580713106,759.97,West
JJCHT8LH,DRV_5052,988916374,990987125,632.25,West
PIIB2PS5,DRV_9287,1199120498,1202555710,4841.33,South
5XNUHAQX,DRV_3730,1035490493,1039175365,4797.92,North-West
93ZWU9IJ,DRV_6927,1027703133,1030026825,1228.49,South-East
G535I7RF,DRV_2406,1219691780,1219834341,2255.14,Overseas
K2OZ8GJB,DRV_4022,1005648386,1009012116,880.76,South
YP5SSM0D,DRV_1342,1416716991,1419927103,1448.67,South-West
EJSLZVUH,DRV_3755,1427177140,1435752806,2553.42,North-East
WUJF7BUR,DRV_2407,1218396141,1233249813,500.06,Central
UHUKBR3P,DRV_4556,1632775300,1637612559,4987.39,West
NFIZ0MQG,DRV_1454,1161110359,1176339231,4568.87,East
NE1D6ZNA,DRV_3946,1213337260,1215448993,2402.54,North-East
70TDDYBE,DRV_9546,1412712554,1415796841,2790.65,South-West
5A6NZNHM,DRV_7836,997023406,1008153520,669.32,Overseas
TRE188Y4,DRV_7084,1610600034,1616076734,3188.12,South
7NITMAHK,DRV_5072,1194434288,1207441966,2299.98,North-West
011JDIAS,DRV_0999,1014170881,1024280042,4331.13,Central
VME8462S,DRV_2216,1170375294,,3380.34,South
YOC03F12,DRV_1485,990207309,998500308,4195.78,Overseas
TUQG0BU0,DRV_8020,1243770024,1251850869,1564.88,North
KT7Z8WC8,DRV_9053,1241778451,1244370451,-433.25,South-East
Q3P06VLN,DRV_7749,1409616081,1420165356,2740.79,North-East
CDQCSENJ,DRV_8112,1277641343,1287763494,4462.3,South-East
A0FNZ28Q,DRV_9360,1185834596,1187408731,2009.72,North
AOT12EDM,DRV_7740,1617417913,1626536670,4784.71,East
QV9W2ZZS,DRV_7642,1381529930,1392301520,1340.21,Overseas
MGLHZWNG,DRV_1474,1522230183,1530202928,3950.97,South-East
704RP1C7,DRV_9212,1550037377,1553493377,3770.16,South-East
86FCEJK0,DRV_5108,1305634968,,2485.05,East
E2EZZPM0,DRV_4066,1206396374,1220493886,776.45,Central
Y7ZJC7R1,DRV_1570,1276143729,1284932338,3443.39,East
8QR8UPUK,DRV_9007,1663952552,1665174749,464.37,South-West
0HGSC2GL,DRV_4860,1486050353,1495996758,1139.91,South-East
IRDLK9EN,DRV_1666,1227424879,1233523647,3983.58,North-East
YTGXU007,DRV_1148,1255385381,1258109648,1965.04,East
6QFI2NCY,DRV_2592,1123665838,1134536069,3356.44,East
SBNB70UF,DRV_7917,1288892599,1295596520,4555.36,North-West
3HKFIC4J,DRV_7629,1295781803,1305274412,3718.96,North-East
ROYMM7SE,DRV_6556,1618798681,1627650648,1335.89,East
XYHAHKMU,DRV_1277,1506993397,1518267769,4520.28,North-East
JJJJJJJJ,DRV_2491,1107406147,1109841034,4257.95,South
DG6FWRON,DRV_1644,1320967384,1321204058,993.24,North-East
N44FBV46,DRV_6019,2022-13-01,1403527776,765.69,North-East
1TC9AW5E,DRV_6456,947400390,951622383,2294.0,West
FWVR99LS,DRV_1828,1033361999,1033790660,4825.7,North-West
YSL5HD9J,DRV_3856,1302292158,1313129365,758.27,South
UB10LU04,DRV_7301,1027707327,1037015281,4148.46,East
Z1C5MNJO,DRV_6005,1330921029,1339347290,335.03,South-West
6WZHCXVD,DRV_2826,1042614862,1052596632,1685.5,Central
GJPMH3UQ,DRV_6682,1657624588,1661892911,1558.05,South
HRCPYRD4,DRV_5084,1183691855,1194793167,1867.33,West
RICV9PWU,DRV_7699,1374611357,1379063109,4572.3,South-West
VCFL1TAX,DRV_5014,1691010845,1693602845,2449.65,South-West
WDGC5AM9,DRV_9988,,1460273279,4406.85,South-West
2J4OJD36,DRV_8897,1430346832,1436990011,1800.26,North-East
3JP4HYXG,DRV_4385,1587005856,1591790045,981.33,West
KJCRF0KP,DRV_8906,1348479366,1363391542,4555.73,North
8SUKE8XO,DRV_1393,1118636833,1124396366,2231.26,North
YAHU8YJ5,DRV_3143,1557505194,,2529.9,Central
4L3NYDVO,DRV_8830,1513917977,1525066892,1266.23,North-West
OQVBV1JP,DRV_4005,1165808889,1173884756,3843.12,North-East
EVU2J9P1,DRV_8589,1132890956,1143593753,4574.97,North-West
54PW1VAO,DRV_8077,1645451269,1649431659,1492.06,South-East
Q5O4HGI3,DRV_3469,1527391179,,2388.89,Overseas
KKKKKKKK,DRV_2034,1499029728,1512765806,4770.94,South-West
1M3YL7WC,DRV_2448,1598245374,1605329390,4554.49,South-West
0T5FXPMD,DRV_7135,1074872947,1079995273,3487.17,North
N2P8C192,DRV_8767,1595503671,,2359.48,North-East
PIIB2PS5,DRV_0696,1001876707,1013805054,3185.71,West
1MP4YDGQ,DRV_6349,1531630060,1542648247,2341.66,North-East
IS98DC7N,DRV_0712,1281923235,1293500035,3470.9,West
DSNZMZIR,DRV_6241,1463544274,,1587.54,Central
ZWVA26OV,DRV_0262,1492478313,1501124896,4780.35,Central
904HT2LS,DRV_ABCD,1573881430,1576473430,2138.03,South-East
6KJTIZD0,DRV_5944,1214509048,1228365248,1904.46,Central
ME5XHCUD,DRV_2128,1376600559,1380558625,1053.55,North
P0L58JQS,DRV_7515,1093679158,1108124920,4461.52,South-East
GZ8QZ4CL,DRV_6650,1427284272,1440554528,817.24,Central
CKFKPJ6Q,DRV_4023,15-01-2022,1562351120,936.43,North-East
NO5MJWM1,DRV_0632,1647920915,1657620260,3463.42,West
3PIWFPUH,DRV_4954,1515264838,1522279261,2353.16,Central
HHHHHHHH,DRV_1961,1216592284,1219830879,3527.28,North-West
YK2FA4K7,DRV_6908,1056165782,1070813628,3643.68,Overseas
KX9M4V74,DRV_8837,1314780054,1322996177,4057.9,Central
E1TS5EG7,DRV_3883,1361905401,1365990922,866.51,North-West
DJOT30T8,DRV_5485,1312310476,1322825679,4464.1,North-East
GUU4E0GA,DRV_4529,1616931874,1626846802,3054.28,Central
EFPM4UR5,DRV_4218,1239554061,1243134392,2533.73,Central
JAWGA0XM,DRV_3599,1371950093,1373213982,506.5,Overseas
SKR26G1O,DRV_2401,172083687,174675687,2106.07,North-West
K00ILU6V,DRV_0527,1232879434,,452.04,North-East
CS1I329R,DRV_0150,1537639836,1545378045,1219.07,West
6FHLF5BK,DRV_5782,1592244973,1600497974,1292.52,South
1TFRSA8Z,DRV_4258,1485553884,1500927912,868.74,Overseas
NYYC0ULQ,DRV_9723,1647424888,1653936173,1384.27,Central
PUYY8T2T,DRV_3330,1377531991,1390588180,4152.17,North
WTEC2B79,DRV_9001,,1399882875,3726.19,North
K0B1FI1H,DRV_3724,1119646578,1131755037,3190.62,West
8MBO63OT,DRV_5943,1693034670,,4478.63,North-West
QACBSLYF,DRV_6238,1028980727,1030277382,2813.56,South-West
Z8T3W0VX,DRV_0612,1472011507,1483281158,1425.09,North-West
VOE3H2K7,DRV_3242,1228903584,1244063477,4752.22,West
JQY3ODSX,DRV_0633,1270312861,1272722467,3574.63,North-West
