transaction_id,vin,fuel_liters,odometer_reading,timestamp
TXN_0088132,IY0WJE3G,266.92,300255,2020-04-30 07:53:45
TXN_0040946,TIVEH8VF,359.34,30541,2020-03-02 09:56:04
TXN_0025393,ZMUDCGV7,193.26,106588,2020-03-19 03:27:41
TXN_0068476,J69SNCZT,214.62,289517,2020-02-29 23:11:28
TXN_0010637,JIUZQENE,343.26,227264,2020-02-02 01:27:57
TXN_0057956,BFONH6FN,329.67,234434,2020-03-25 07:01:52
TXN_0095087,0P0HZWCY,161.52,174191,1997-10-24 07:00:00
TXN_0009888,2G24ABYQ,125.75,80409,2020-02-08 07:10:56
TXN_0000968,GP41S3QW,266.32,281636,2020-01-03 18:06:22
TXN_0022419,I2VKC4GS,277.57,125095,1581451820000
TXN_0067368,5KZQC8CO,42.91,178513,1588974957
TXN_0024130,MXMJ79J7,272.96,143282,2020-02-10 13:32:08
TXN_0013213,QEBWUWQH,275.56,50503,2019-12-21 22:59:44
TXN_0018522,JOTMBTBG,100.92,25504,2020-01-21 03:57:07
TXN_0065498,5GZPLUSQ,352.36,277705,2020-01-10 19:54:36
TXN_0025807,QBFON7V1,78.8,106775,2020-03-01 17:25:00
TXN_0037328,KAU1AXV5,40.99,289052,2020-02-06 17:47:34
TXN_0063047,AALJQQBC,137.32,181266,2020-06-06 06:29:53
TXN_0039024,4ACC224R,176.03,135569,2020-01-23 06:33:30
TXN_0068675,82KB700U,140.98,136052,2020-02-16 04:48:18
TXN_0033669,1CTY6R53,99.23,107310,2019-12-25 16:17:35
TXN_0028218,NT1UZYMP,371.18,302583,2020-04-16 17:02:38
TXN_0083990,OUBOFKTY,170.61,289785,2020-08-08 14:22:19
TXN_0040237,MQWF7IB9,382.94,60261,2020-02-27 08:48:06
TXN_0074734,UDDIXRQR,119.43,135934,2020-05-21 07:01:08
TXN_0085629,GJVXJZTL,203.81,262628,2020-04-15 04:49:10
TXN_0030437,ZPLN1QVH,282.69,282407,2020-02-01 11:07:43
TXN_0033187,8YJ9AA9P,218.16,129978,2020-03-19 03:20:53
TXN_0064496,KU5NCT4R,148.35,72343,2020-05-07 20:46:20
TXN_0034847,DIURF17K,89.7,37005,2020-04-18 03:09:04
TXN_0072950,2AWW77GC,295.98,130379,2020-05-29 12:44:05
TXN_0044995,WSUH4L3I,345.4,213431,2020-04-28 15:58:08
TXN_0090571,MQ6GXLUN,174.05,258779,2020-04-15 08:48:30
TXN_0068725,NFH4ZWW8,387.85,291008,2020-03-26 20:34:27
TXN_0012894,2I1497B6,188.2,192500,2020-01-25 09:00:14
TXN_0001992,1YKVUBF9,51.99,152102,2019-12-02 09:28:04
TXN_0010725,QA8P5BQJ,85.6,51878,2020-01-28 18:29:20
TXN_0006928,99106AK3,305.87,66930,2020-01-06T01:22:51+05:30
TXN_0028345,W26WC47P,380.14,88491,2020-02-06 04:00:10
TXN_0054271,3T54M87V,291.18,145679,2020-03-11 06:08:44
TXN_0083153,XEHTTUWX,"366,99",283358,2020-02-16 21:22:51
TXN_0012119,WJ6O6U91,221.28,256286,2020-02-13 21:20:47
TXN_0052284,XCEXHG02,316.18,158335,2020-04-01 10:33:26
TXN_0018621,ASRW7SHK,66.59,69593,2020-02-16 19:27:29
TXN_0067617,FV0QXKLR,349.45,258553,2020-05-18 16:31:53
TXN_0028093,WOZRZUWQ,164.6,27087,2020-02-16
TXN_0034663,TWK4T1WM,345.32,142691,2020-01-04 10:40:01
TXN_0092531,58BV45RH,354.16,311403,2020-04-09 05:41:01
TXN_0067327,8ACHTV2K,150.73,142365,2020-04-04 15:10:45
TXN_0051263,P5QL0YVG,121.0,287811,2020-06-27 02:35:04
TXN_0057030,09IKAX11,265.08,63908,2020-06-29 13:29:18
TXN_0090134,FPSQ7XLW,91.68,107585,2020-06-03 10:32:58
TXN_0084295,57PMM0TO,66.36,88275,2020-08-05 23:01:21
TXN_0021490,FCR5V730,274.66,147704,2020-03-09 06:09:29
TXN_0030981,2FZTHLQ1,42.09,153352,2020-03-05T12:11:40
TXN_0019018,FI23N7ZL,157.61,176315,2020-02-15 19:52:25
TXN_0011743,GMYKVYGW,245.14,17639,2020-01-31 11:45:27
TXN_0077675,XII6L3UE,99.43,286119,2020-02-23 20:53:19
TXN_0001274,SMHLDKBN,221.52,66763,2019-12-28 14:55:00
TXN_0030367,QXBV0DEO,366.13,254564,2020-03-06 13:54:49
TXN_0023670,SPYA2OTK,285.73,234372,2020-02-29
TXN_0089553,VT11L1EG,43.46,122707,2020-07-23 07:18:33
TXN_0097342,HOCN9J2Q,1768.0,817,2025-05-27 17:57:41
TXN_0004104,2LXNF1JW,225.68,172781,2019-12-26 06:45:26
TXN_0017355,0JBZUTRU,"251,22",229876,2020-01-23 13:16:37
TXN_0076196,AU3JWB2N,189.85,199538,2020-04-09 13:14:49
TXN_0015245,637810OE,399.67,272905,2020-01-28 13:50:48
TXN_0002209,II8677YE,118.74,28468,2020-01-06 20:31:15
TXN_0092292,IHZ2F73H,217.05,135266,2020-08-05 10:05:56
TXN_0041801,XWS5BU3N,101.66,52630,2020-05-12 16:51:31
TXN_0096033,QEXS01HL,4226.25,105376,2022-05-22 03:45:42
TXN_0038861,0D4DMC2R,228.96,266023,2020-02-06 04:31:01
TXN_0033905,EHB9FCFH,"137,23",100729,2020-04-09 12:27:53
TXN_0049571,2YKULNWY,264.37,69045,2020-04-22 09:27:12
TXN_0008828,MUD48OH9,298.54,261474,2020-01-06 19:09:36
TXN_0015571,TXCY1R4R,142.6,72675,2020-01-11
TXN_0049328,XRIBXAL1,287.17,28504,2020-03-07 01:00:51
TXN_0019837,VMZ7ZTF8,395.58,260166,2020-02-28 12:59:05
TXN_0031331,XRR0JYN3,46.04,250964,2020-02-15 20:22:51
TXN_0028650,IO7R6FWK,354.32,124571,2020-02-21 01:39:30
TXN_0094513,N74VF0UX,130.22,168233,2024.06.15
TXN_0013322,K945Y9KG,215.12,169772,1576727990
TXN_0066709,LWLS8KAN,222.97,229385,2020-04-20 13:37:17
TXN_0079725,MER6A953,352.89,71559,2020-03-15 23:30:51
TXN_0081002,SL1YA1RY,248.8,129977,2020-04-28 22:49:23
TXN_0085329,SB7BIOI3,304.96,220464,2020-09-05 09:24:19
TXN_0068416,MFXOMS9J,65.35,127959,2020-03-11 23:50:53
TXN_0066744,6TKN4KQ8,268.01,103228,2020-05-24 03:22:20
TXN_0078657,69Q43BG0,132.66,191656,2020-06-02 11:22:47
TXN_0025557,NRKNS0KM,201.86,75642,2020-01-01 00:46:56
TXN_0075757,Q0DBSZYL,188.66,242626,2020-07-15 13:12:20
TXN_0019452,OXIL6RSO,241.98,27221,2020-01-31 06:44:03
TXN_0049077,DIOU6UGS,207.32,173722,2020-03-08 09:21:25
TXN_0076750,4MLVW8BO,205.45,66059,2020-05-07 10:43:36
TXN_0024830,H069KUGK,289.24,232613,2020-01-14 01:30:38
TXN_0045967,5NBSJX4E,192.17,200024,2020-02-02 08:21:49
TXN_0060264,V4E6F0R1,340.78,106888,2020-02-18 06:18:15
TXN_0073989,8DS0YVZV,333.48,80079,2020-05-26 12:15:52
TXN_0070060,ONJPI163,219.96,298858,2020-08-27
TXN_0058701,HYV08MHS,334.6,219580,2020-04-13 21:24:47
TXN_0011453,MS4VZV6U,357.5,223835,2020-02-21 02:14:59
TXN_0015902,MRRQSRNH,169.85,70330,2019-12-13 17:24:16
TXN_0078253,E4UNY181,308.3,302869,2020-05-15 11:29:09
TXN_0027143,LADLWT45,354.84,296147,2020-03-07 22:03:21
TXN_0018777,571MYIIE,190.0,56749,2020-02-07 10:49:04
TXN_0000457,D2B9YHQR,358.02,113461,2019-12-14 12:55:40
TXN_0092390,5KCMG2K8,319.76,285043,2020-06-13 03:51:55
TXN_0048007,IGKYOJB4,103.26,216338,2020-02-04 16:13:49
TXN_0086945,BZW9H5PL,191.97,182419,2020-07-22 16:51:37
TXN_0027461,LK3FUQVU,131.62,134161,2020-02-16
TXN_0082889,ZIO6W5VT,44.62,54529,2020-07-12 17:39:19
TXN_0002892,GM25LEN6,246.37,135404,2020-01-10 08:55:17
TXN_0057901,QU2RFTVN,368.04,177603,2020-03-27 13:00:07
TXN_0070501,YP7VNSGO,75.75,71746,2020-04-03 14:09:44
TXN_0067065,PCXWAYMH,129.46,174950,2020-05-15T10:46:54Z
TXN_0091331,DH0V22QC,251.9,284031,2020-04-14 02:34:41
TXN_0013327,A6MVM539,150.68,229298,2019-12-30 05:32:03
TXN_0017982,T3AAZBC4,"323,48",177626,2019-12-17
TXN_0011204,VDX4WLNS,366.51,17880,2020-01-02 07:54:36
TXN_0058534,9Z25UCRF,"397,01",104878,1587643415000
TXN_0046779,GUCF1EK6,141.07,136005,2020-04-30 19:09:03
TXN_0032352,TS1UVG9G,328.1,207646,2020-01-28 04:47:57
TXN_0003229,5R5RC6ZS,362.62,72472,2020-01-27 13:28:08
TXN_0043734,ICH77WRM,269.67,236804,2020-04-12 12:43:10
TXN_0063735,5XJB683B,118.51,168829,2020-04-13T00:05:47+05:30
TXN_0068475,WSC7QVQZ,180.43,113032,1587309010
TXN_0067549,VSSCU5PW,137.39,111983,2020-04-24 04:07:25
TXN_0040482,XAAD0XH2,330.39,146891,2020-04-09 04:02:31
TXN_0006952,7TLETBW4,207.24,62744,2020-01-10 23:21:33
TXN_0071460,WWWWWWWW,46.68,223030,2020-08-08 22:36:19
TXN_0054429,WZFIKR41,139.59,301270,2020-03-22 12:31:28
TXN_0092989,WKCY25DS,310.74,45978,2020-03-29 04:03:47
TXN_0085421,AENDZ15L,32.43,200165,2020-05-15 08:41:52
TXN_0092552,INCS6IUF,69.73,73398,2020-04-08 16:15:38
TXN_0051528,ARX3DA1L,294.12,283333,2020-02-19 01:57:07
TXN_0040618,WRJFB5X3,46.24,183059,2020-02-28 05:29:16
TXN_0072354,CV2WPHJ1,148.51,299758,2020-04-14 18:13:47
TXN_0003631,CM2WLNM2,43.47,152251,2019-12-16T15:42:27
TXN_0055958,0469KB1Z,132.86,259452,2020-02-21 09:23:26
TXN_0029902,Y2594BNA,111.74,51417,2020-04-01 20:00:17
TXN_0022416,6RMX1VZA,318.87,247257,2020-01-01 03:15:22
TXN_0093993,NUAM9TWG,311.95,94130,2025-10-07 19:13:33
TXN_0080450,O7BAL23I,39.43,238505,2020-04-17 22:10:19
TXN_0077688,JUQ7X7B7,212.11,192455,2020-05-13 06:28:15
TXN_0012930,7LKBVXSM,152.13,272534,2020-01-21 18:56:53
TXN_0073142,85L8OZ43,257.46,88223,2020-02-18 15:12:33
TXN_0074889,6F7QNEZW,346.35,279560,2020-03-13 14:08:09
TXN_0002532,MF62547M,70.79,119109,2020-01-12 22:58:48
TXN_0004410,K06GS2C4,253.72,141112,2019-12-15 06:38:50
TXN_0037959,JEP4LSVS,120.48,268964,2020-05-14 07:33:57
TXN_0066918,65AFU20V,51.66,58962,2020-04-09 05:16:15
TXN_0061143,78V3C1ED,317.79,247533,2020-02-02 12:46:03
TXN_0064281,376QWVGF,"325,8",57331,2020-01-25 04:54:04
TXN_0029534,ZJPFLET1,140.82,204194,2020-03-16 12:52:14
TXN_0023271,WQAODZ8M,116.13,116908,2020-02-06 13:11:44
TXN_0006453,KOEFUKPV,218.61,221269,2019-12-05 15:56:45
TXN_0066129,5D67A95E,250.37,47791,2020-04-23 01:35:50
TXN_0073374,WR3OW37G,65.98,49632,2020-03-30 14:48:19
TXN_0050103,QD7IX5NX,207.88,31290,2020-03-27 04:10:40
TXN_0070186,HOLQC3O1,316.56,222963,2020-05-06 17:49:23
TXN_0068703,6P61XUFC,391.21,107092,2020-05-30 13:51:55
TXN_0016570,IS3ODGBQ,319.99,132487,2020-02-11T16:17:55+05:30
TXN_0087693,ME7IJJZT,394.24,67821,2020-07-25 01:41:19
TXN_0097845,5NBSJX4E,62.15,209743,2020-04-17 08:00:57
TXN_0055253,B7AO6FV5,81.13,32275,2020-02-10 20:29:14
TXN_0062017,651ABA2H,194.05,48756,2020-04-18 11:48:12
TXN_0020929,IA4JNN9N,289.65,163943,2020-01-05 02:14:32
TXN_0060001,3W4KX07J,147.51,201807,2020-04-10 14:43:47
TXN_0030711,2BQVC0V8,188.22,45141,2020-02-07 06:48:58
TXN_0074436,DXEDLIYD,61.42,211882,2020-04-20 10:42:04
TXN_0040358,U2MDA7FY,139.79,57142,2020-02-15 18:22:44
TXN_0041350,7RP9QQZP,355.4,94203,2020-02-08 15:09:55
TXN_0062289,411ECJTL,369.89,147802,2020-04-27 01:00:56
TXN_0075752,1LIZ3TCW,166.48,231965,2020-07-25 17:10:56
TXN_0028316,NRKNS0KM,371.01,77144,2020-01-21 23:18:11
TXN_0057662,YQJ3IZBT,98.24,130207,2020-02-11 18:18:42
TXN_0010970,ABWOKHEP,195.8,208897,2020-01-26 08:16:26
TXN_0033567,ROCZQ1FZ,284.43,126070,2020-01-02 13:29:38
TXN_0049671,NT30S0V9,174.47,140524,2020-04-04 12:40:52
TXN_0059731,EQTIM887,324.02,196120,2020-03-02
TXN_0044147,IHZ2F73H,359.88,125087,2020-03-08 10:35:32
TXN_0082962,CYIBVFYH,65.27,290106,2020-04-03 06:52:53
TXN_0072273,O8PNBIFE,165.91,137072,2020-05-20 20:55:36
TXN_0037536,AB7A83M6,272.45,241253,2020-03-30 01:20:15
TXN_0006916,7JC6QBDE,267.13,44018,2020-01-19 11:50:59
TXN_0057436,JZNRCBWM,134.54,246145,2020-06-25 06:19:41
TXN_0043156,XGIMYDO5,371.31,228284,2020-02-20 04:06:12
TXN_0012984,Q3CYBYC4,263.3,299789,2020-01-03 21:56:10
TXN_0093578,TOOSHRT,59.96,126822,2023-10-30 02:33:37
TXN_0068050,R3GAE9DR,55.47,124251,2020-03-08 01:57:13
TXN_0049267,6H5Z6TEG,204.16,42043,1584226285
TXN_0061847,0CH4NDFS,300.71,85092,2020-04-01 10:32:25
TXN_0096098,9K17HE2M,7760.57,64192,2022-05-27 08:32:51
TXN_0090632,V68JQ12J,67.05,160071,2020-07-14 20:17:42
TXN_0094980,5YKMUTXZ,196.42,405072,Jan 2024
TXN_0073988,L15RNL3A,395.77,286308,2020-04-12 11:32:49
TXN_0000157,NAOK94F1,296.86,101421,2020-01-15 00:42:09
TXN_0089477,USSD6SJ6,115.14,29535,2020-05-28
TXN_0053727,RQUKJF8R,302.88,72535,2020-04-02T07:49:37+05:30
TXN_0096218,6T2GL9S0,5493.55,132139,2020-12-10 19:26:57
TXN_0048900,15KXSXWK,291.15,193257,2020-05-16T14:23:22+05:30
TXN_0012614,3OF3POGT,134.09,251022,2020-01-18T05:19:15+05:30
TXN_0048149,S4G5V2NV,295.55,25252,2020-03-11 08:35:42
TXN_0031283,L7GF06SY,314.98,39246,2020-03-22 13:11:05
TXN_0054985,MSQN9R3V,205.53,119893,2020-03-27 14:28:53
TXN_0025373,CM8JJ6AV,49.81,69341,2020-03-04 06:21:03
TXN_0076046,RR5HL4XT,383.6,129563,2020-03-04 05:54:03
TXN_0054453,AWPQSHE9,181.43,183358,2020-05-04 00:20:22
TXN_0083577,T64VZ90H,73.45,183564,2020-02-19
TXN_0023519,W04PDTII,217.63,63589,2020-01-22 01:55:58
TXN_0041691,R25MDF7F,"159,75",189650,2020-03-25 22:28:03
TXN_0009716,352C4XA7,114.03,297731,2019-12-11 19:14:42
TXN_0022370,4X6CYJQE,287.94,165020,2020-03-04T18:39:32Z
TXN_0031996,TXCY1R4R,191.96,75626,2020-02-21 19:14:50
TXN_0039966,RY09SGWN,383.14,293136,2020-03-07 08:38:49
TXN_0084745,8EE61YQH,260.67,171453,2020-06-08 20:33:23
TXN_0041068,GO6ZUDO9,182.39,269462,2020-03-23 12:12:57
TXN_0008065,I3CE8ZNA,399.04,230426,2020-01-04 14:20:45
TXN_0037057,KIWRIQRP,233.93,14973,2020-01-25 01:22:11
TXN_0055052,FK84RPU9,213.57,226033,2020-02-24 20:52:10
TXN_0097624,M3618LEU,111.27,32200,2020-08-18 08:10:50
TXN_0077276,1YN1U4L8,228.89,272221,2020-05-04T20:06:32+05:30
TXN_0020613,00000000,103.97,273761,2021-05-15 10:20:48
TXN_0028734,7OONNCIL,394.86,244226,2020-03-20 10:29:12
TXN_0081938,XHDQF8C6,219.75,127396,2020-06-08 20:44:15
TXN_0020959,SLCDAWRK,147.79,272450,2020-02-01 10:41:00
TXN_0059796,CYL94NXI,219.87,190220,2020-03-03 17:43:35
TXN_0084373,UMD2OVAA,282.76,304152,2020-05-13T10:18:09+05:30
TXN_0055437,L2OBEQUM,232.73,145675,2020-04-25 04:42:04
TXN_0066747,X269VTUG,81.05,73800,2020-02-12 02:05:59
TXN_0044549,E64FVF2X,395.44,18751,2020-03-18 04:48:50
TXN_0027115,BH95HHZL,44.99,269041,2019-12-30 09:08:03
TXN_0057381,0CQAK666,84.24,57012,2020-04-10 14:11:50
TXN_0024665,RIBCRCGO,283.67,153740,2020-01-09 21:16:12
TXN_0064148,Z03N0A0M,67.74,103183,2020-07-22 22:51:27
TXN_0080937,DGV3VQEH,57.93,204892,2020-01-23T06:47:41+05:30
TXN_0062344,3BS7KCTV,361.31,299699,2020-04-27T05:45:47Z
TXN_0070732,L9ZWL473,129.75,295636,2020-03-04 00:05:28
TXN_0050065,99LWG4DI,398.13,174620,2020-03-20 12:53:52
TXN_0045851,B82C2ASV,66.76,149540,2020-04-08 08:21:10
TXN_0051482,F4HQG39G,249.64,106034,2020-03-31 22:43:01
TXN_0094769,XNF29KWF,222.14,203568,15-04-2024
TXN_0085224,LG6P87ID,391.52,157975,2020-06-17 16:39:25
TXN_0007869,J5CXCPL9,338.46,182403,2020-01-01 13:31:18
TXN_0020429,E0UDJY9N,231.85,41577,2020-02-17 03:03:45
TXN_0093122,N/A,61.11,56731,2022-04-24 06:48:07
TXN_0045138,WHITTVME,146.41,179034,2020-04-28 00:05:24
TXN_0017610,TWFBDHRI,316.29,130530,2020-03-03 05:17:27
TXN_0070624,00ML2NYD,"388,92",239644,2020-03-05 22:52:52
TXN_0041213,S4AQYJ5R,212.18,242273,2020-02-05 18:02:23
TXN_0077240,L69ISXUW,158.29,136665,2020-06-20 16:22:10
TXN_0056610,HJSOS58Y,153.35,139810,2020-04-11 15:57:32
TXN_0054925,7PNPFZBP,372.79,164731,2020-05-23 20:59:35
TXN_0072436,24Q9KSOD,276.67,267970,2020-05-22 12:34:07
TXN_0089812,4LDY8PVD,187.02,270763,2020-04-15 13:13:45
TXN_0049969,85BG6AHS,167.05,158387,2020-01-12 20:46:25
TXN_0013155,MLJ2H92P,361.31,107794,2019-12-13 00:13:21
TXN_0035447,YQPENPDK,362.18,231267,2020-02-21 08:52:16
TXN_0081992,W71T319A,191.66,34764,2020-07-10 03:18:58
TXN_0042937,1CVMV4FR,363.7,36889,2020-01-19 13:44:41
TXN_0018782,9326YW0T,301.57,217346,2020-02-01 01:36:35
TXN_0026853,D6FIZ791,345.59,149380,2020-01-24 12:20:02
TXN_0080737,HM7X9CCV,207.24,283767,2020-05-07 00:02:26
TXN_0049781,3P0AMTS7,200.46,131428,2020-01-29 17:35:53
TXN_0022344,IEPTSCUS,187.68,207808,2020-01-14 15:23:38
TXN_0039671,FL9154F3,104.27,33874,2020-04-29 23:02:48
TXN_0040166,6UAQDES4,332.33,249852,2020-01-27 22:50:02
TXN_0078799,H6C6IWMG,93.54,186894,2020-05-20 17:23:03
TXN_0070715,99FS8P93,223.09,247264,2020-09-02 08:30:34
TXN_0020615,KS02W22E,133.1,127192,2020-02-18 09:22:53
TXN_0018990,ELYYU829,261.89,36866,2019-12-27 20:31:18
TXN_0061080,XSPCU9L1,"299,43",214987,2020-04-10 00:46:48
TXN_0097057,3PUWSXVT,4093.47,479,2025-02-01 11:23:56
TXN_0016576,AKXL19E7,241.84,239210,2020-01-04T11:03:00
TXN_0048649,6YAH56YZ,248.03,168422,2020-03-14 21:04:30
TXN_0024188,BWZLO23C,106.03,251598,2020-01-26 05:04:36
TXN_0018177,G8SNM7V4,358.27,139238,2020-06-15 17:22:39
TXN_0091090,QXB12EHZ,56.91,147684,2020-07-01 17:34:02
TXN_0008802,24GSY5YB,65.19,239734,2020-01-24
TXN_0018425,K2V4ZPPZ,210.12,149071,2020-02-19 03:41:30
TXN_0055265,NF0UL9CH,124.31,237838,2020-01-29 03:32:57
TXN_0020991,00000000,364.97,276057,2021-06-10 15:34:21
TXN_0016964,1UGJZGWS,173.47,195540,2020-01-26 08:15:44
TXN_0026427,17TZF3GL,177.81,68941,2020-02-07 23:22:22
TXN_0089254,IQISTDH4,142.2,89189,2020-05-23 17:13:43
TXN_0076164,005PXXFG,257.15,78888,2020-07-22 02:35:39
TXN_0021954,ELGV3GUY,299.71,173702,2020-01-28 03:04:40
TXN_0080785,XR16E2R9,379.38,112163,2020-05-23 23:56:11
TXN_0027804,ZA9TGTJB,283.59,204745,2020-01-28 00:59:16
txn_0001234,W582Z95S,287.31,186863,2024-09-21 23:35:56
TXN_0028039,CST2K6UY,68.04,90607,2020-02-07 21:14:39
TXN_0060565,23HAQRAD,159.46,112788,2020-05-10 09:11:26
TXN_0053210,6UFXTM05,77.74,64820,2020-02-23 21:30:49
TXN_0064783,X8XC31DO,297.54,258146,2020-05-14 23:53:46
TXN_0048518,DM0IBZZ0,171.01,144091,2020-02-21 06:47:56
TXN_0069300,4V18Q8XF,371.83,110450,2020-04-11 05:19:48
TXN_0036493,VW3KVESU,43.08,99864,2020-04-16 17:46:35
TXN_0046468,F3SVQAPF,277.49,143549,2020-02-16 12:21:34
TXN_0024592,KORDOWYJ,"294,67",126969,2020-01-20 15:54:02
TXN_0037341,OLQLOIMS,386.93,38333,2020-03-10 13:31:28
TXN_0023391,XNF29KWF,187.44,190830,2020-02-21 08:38:54
TXN_0048490,1503OG6A,275.42,94158,2020-04-08 05:59:44
TXN_0074336,NJEW273T,246.11,153917,2020-06-10 16:56:28
TXN_0061830,EVNVMMKV,46.47,192280,2020-01-26 15:21:35
TXN_0006551,4G5VS4F6,346.76,144620,2019-12-24 06:25:25
TXN_0027814,HDU3Y448,300.92,119164,2019-12-28 02:44:56
TXN_0013866,5YC6X1T0,37.5,267114,2019-12-26 10:27:17
TXN_0052507,L69ISXUW,244.93,132346,2020-04-21 21:15:18
TXN_0076781,BDTWH7F0,117.85,237625,2020-04-16 11:52:14
TXN_0024340,NAE2DWBN,320.34,148632,1583010429
TXN_0061569,NGO4XMGA,263.72,111970,2020-02-18 12:47:18
TXN_0054536,G5DM12HO,203.92,136009,2020-03-24 04:58:49
TXN_0027763,1DV63WCE,187.84,222702,2020-01-05 03:26:45
TXN_9177960,ES995WVB,285.87,400691,2023-04-22 09:51:52
TXN_0063349,HHBVMDCD,78.03,289555,2020-06-30T21:06:43Z
TXN_0084571,4W4FM342,93.73,252384,1591330150000
TXN_0045299,590AR3KV,333.35,34630,1587262507000
TXN_0090733,UZA6GRBW,387.41,46871,2020-06-13 23:43:55
TXN_0058246,6V9N884P,124.35,176347,2020-04-09 02:01:50
TXN_0092163,GC2R4LB9,78.7,193801,2020-05-14
TXN_0094183,59JUW3H5,312.69,489677,2020-04-29 01:55:40
TXN_0077580,T03IN5NA,356.67,62265,2020-07-17T05:08:10+05:30
TXN_0004611,UIRODXMO,57.58,35746,1579905224000
TXN_0032827,XMVQD3CS,76.5,223502,2019-12-31 14:30:55
TXN_0060530,PKR9VMFW,65.0,23645,2020-05-10 00:37:05
TXN_0034936,W582Z95S,231.72,151653,2020-02-11 11:53:14
TXN_0088371,7CTGVKKT,318.01,245043,2020-04-01 06:18:24
TXN_0056139,6AO9UKB8,143.54,143118,2020-01-24 02:09:57
TXN_0014214,VG7UELN0,316.99,28429,2019-12-12 21:38:22
TXN_0053617,WZFIKR41,133.06,300214,2020-03-14 17:05:22
TXN_0086597,BGNGCFVX,"103,99",242201,2020-06-03 08:23:43
