vin,model,mfg_year,fuel_type,base_kmpl
UA5ER5Q4,Thomas Saf-T-Liner,2012,CNG,10.23
N6TBSPWYJ8,Volvo VNL,2010,Diesel,5.44
HUMVLVE9,Freightliner M2,2015,Petrol,6.74
651ABA2H,Hino 268,2018,LNG,good
4N6O9JD3,Isuzu NPR,2009,LNG,8.47
JKEYKUG0,IC Bus CE Series,2022,Hybrid,21.46
  JKQLWYGU  , International LT , 2022 , Electric , 4.87 
VOE3H2K7,Ford Transit,2005,Hybrid,19.6
Y28N3CQF,Rivian EDV,2001,LNG,11.23
!@#$%,Hyundai XCIENT,2003,Electric,5.27
WDULPAES,Mack Anthem,2006,Diesel,5.12
9PZ31F2G,Blue Bird All American,2024,Petrol,10.95
KUXPG3JP,Freightliner M2,2006,CNG,15.84
08I7HPZG,"Freightliner M2, Heavy Duty",2016,LNG,7.52
SSZVVRFF,Freightliner M2,2002,Petrol,13.3
,Volvo VNL,2016,CNG,8.42
NKTT7MUX,Kenworth T680,2013,Petrol,14.14
PHJ4SX9Y,Hino 268,2019,Electric,5.11
DH5BZUD3,Freightliner M2,NULL,CNG,13.58
B1QTGNHU,IC Bus CE Series,2002,Electric,2.79
29Z8KPEM,International LT,2013,Hybrid,21.62
1IRSUIE1,Chevrolet Silverado 4500HD,2017,CNG,15.04
08DU86KK,Ram ProMaster,2026,LNG,8.23
TCS8PE88,Chevrolet Silverado 4500HD,2022,Electric,4.25
30FUZRB0,Ram ProMaster,2001,CNG,
PP00CDNZ,Arrival Van,2009,Electric,5.5
5WFCPKJC,Ram ProMaster,2002,Petrol,9.72
KP3KCROK,Ford Transit,2014,Diesel,5.01
HZG58XYJ,Hyundai XCIENT,2019,Petrol,10.08
A7JZEOY9,Isuzu NPR,2016,Electric,4.44
OV8ZPZLL,Volvo VNL,2024,Electric,5.43
QESXUVYG,Freightliner M2,2006,Petrol,16.69
9QEOLIDZ,"Freightliner M2, Heavy Duty",2004,LNG,7.9
D3SD4XT8,Hino 268,2026,LNG,11.1
YH523GGO,Peterbilt 579,2026,Hybrid,13.93
FP672ZFB,Ford Transit,2005,CNG,8.26
J4TRXBBT,N/A,2016,Diesel,9.52
KJDYVY96,Mercedes Sprinter,2022,Electric,5.62
GMVD9AZI,Hyundai XCIENT,2025,Hybrid,11.4
BTUFDOAP,Blue Bird All American,2010,CNG,13.86
8HJK0XYS,Thomas Saf-T-Liner,2013,Electric,4.07
8YE71TWD,International LT,2001,LNG,8.39
K16LE7NP,Hyundai XCIENT,2023,Hybrid,25
995GHA6D,Freightliner M2,2021,Petrol,6.59
ELLLQXY8,International LT,2012,Diesel,6.52
QOQQZL7N,Hyundai XCIENT,2023,Hybrid,12.13
23T4TCCM,IC Bus CE Series,2007,EV,13.31
X5GYQBCH,Hyundai XCIENT,2002,Electric,3.26
U0QI2PEV,,2026,Electric,5.98
5CF89LPB,Ram ProMaster,2019,CNG,14.02
LAYNDN5G,Hino 268,2007,Diesel,7.69
null,Thomas Saf-T-Liner,2013,Diesel,14.21
O4VTKA4Y,International LT,2005,LNG,-19.01
PQ24NI10,Chevrolet Silverado 4500HD,2026,CNG,10.1
8DIY9D9M,Hyundai XCIENT,2009,Petrol,6.35
1HGB	225,Ram ProMaster,2021,Electric,3.76
W3GTNO9R,Kenworth T680,2020,Hybrid,13.93
FZ4MU7SM,Hino 268,2012,LNG,9.31
38PITSDS,Blue Bird All American,2002,Electric,4.82
CV2WPHJ1,Hyundai XCIENT,2010,Electric,4.97
KAH84BJ6,Volvo VNL,2009,Electric,4.25
DVVH6SD4,Western Star 5700XE,2016,Diesel,13.53
GW5QZDO0,Mack Anthem,2008,LNG,7.6
12HNC0I4,Hyundai XCIENT,2006,CNG,13.98
AIZFGLLA,Ford F-750,2022,Diesel,12.42
YIC7TIXC,Peterbilt 579,2010,Diesel,5.15
P0LFJK56,Western Star 5700XE,2001,Electric,4.34
RO4VZS9H,Arrival Van,20/22,Petrol,13.0
3X27UCAQ,Tesla Semi,2010,Hybrid,18.8
06HU5L0F,Blue Bird All American,2026,Electric,3.87
X30PAJPP,Hino 268,2020,Diesel,8.55
IFDV1MJ6,BYD 8TT,2015,Diesel,11.92
8QR8UPUK,Mack Anthem,2078,Hybrid,11.97
4C,Volvo VNL,2016,Electric,3.48
50HT5IPJ,Blue Bird All American,2019,Electric,inf
3OF3POGT,Mack Anthem,2000,Petrol,9.18
5I1VDV01,Rivian EDV,1993,CNG,13.07
1Z696R2W,Ram ProMaster,2011,PETROL ,24.02
IOQZJOZQ,Nikola Tre,2017,Electric,5.73
NCJUI84J,Freightliner M2,2022,Diesel,7.51
<script>alert(1)</script>,Blue Bird All American,2012,Hybrid,21.22
0V2ZP4JU,BYD 8TT,2011,Diesel,14.27
RL8QXN30,Peterbilt 579,2014,Hybrid,11.2
TZTXD62Y,Peterbilt 579,2005,Hybrid,18.11
71I6YY9O,Freightliner M2,2019,LNG,8.16
L2FLZSZ3,Freightliner M2,2003,LNG,8.8
W5EJE32T,Peterbilt 579,2012,LNG,13.11
3XHS18EW,Ford Transit,2017,Petrol,6.2
8NGWQ3D3,BYD 8TT,2011,LNG,7.62
W90DPIMR,Volvo VNL,2008,Electric,4.98
89H4LMEO,Ford F-750,2010,CNG,-18.69
OFV14J64,International LT,2015,Petrol,15.03
C8WQUUY5,Hyundai XCIENT,2020,Hybrid,21.84
93Z7YC7J,Thomas Saf-T-Liner,2017,Hybrid,-10.92
NOEPRWG5,Ford F-750,2016,Hybrid,19.62
FUTIAZDV,Western Star 5700XE,2014,Electric,5.83
VZ3P3LZG,Freightliner M2,2002,Petrol,12.43
LOW2R576,BYD 8TT,2018,Petrol,8.77
31QH0VSQ,Freightliner M2,2012,Hybrid,15.56
KSVTL6M7,Western Star 5700XE,2023,CNG,15.74
568HJGWB,Hyundai XCIENT,2007,Electric,3.52
C7OIT17J,Volvo VNL,2001,Diesel,12.55
L4VFZYKB,Volvo VNL,2022,Electric,5.58
4MXU8NIH,Hino 268,2003,CNG,12.63
MQZHPO1P,Hino 268,2010,CNG,13.67
UYHTZORI,Rivian EDV,2016,Diesel,11.79
SZBVYE1I,Isuzu NPR,2013,Electric,2.64
FCK5TCG3,Blue Bird All American,2016,LNG,7.41
8ZI9VCCM,Tesla Semi,2011,Hybrid,15.26
1OCF2N0V,Western Star 5700XE,-225,CNG,15.19
FV2EJ8YT,Thomas Saf-T-Liner,2030,LNG,7.97
ED7SWDGK,Tesla Semi,2024,Petrol,14.15
KVOP6U9H,Hyundai XCIENT,2000,Petrol,7.26
L95PIKGQ,Isuzu NPR,2052,CNG,10.17
ADS83GYZ,Isuzu NPR,2002,Petrol,7.63
ECKODY3G,Isuzu NPR,2007,Petrol,13.12
XNR1DEK0,Mercedes Sprinter,2012,Hybrid,16.5
L7ZQPPOA,Tesla Semi,2000,Hybrid,21.49
Q9W2IN2I,Ram ProMaster,2017,Diesel,13.5
U0MAN5SN,Thomas Saf-T-Liner,2018,Petrol,13.32
TDH7E4V9O885G3K,Blue Bird All American,2008,CNG,15.3
DLTGGD08,Ford F-750,2003,Diesel,7.34
V2APLZ6C,Mercedes Sprinter,2019,Petrol,6.76
0OX6JXIJ,Hino 268,2012,CNG/LNG,24.59
BUY3E8CU,IC Bus CE Series,2021,Petrol,11.69
KCEHQO67,Ram ProMaster,2015,CNG,9.65
X2WW7ZYTROG8J7DYYP,Ram ProMaster,2003,Diesel,6.99
WUJF7BUR,BYD 8TT,2016,Electric,5.86
GZY4FCNN,Hino 268,2002,Electric,4.33
Q4F4QMU1,Tesla Semi,2003,Hybrid,21.65
RF3XGS8T,BYD 8TT,2016,CNG,10.95
KE1AZPC2,Ford Transit,2007,Hybrid,20.23
IZI67IVD,Mercedes Sprinter,2025,CNG,14.41
L4JXGYFR,Thomas Saf-T-Liner,2013,Diesel,7.4
8EE61YQH,Volvo VNL,2015,Electric,5.59
W8XGQIVP,Mercedes Sprinter,2023,LNG,10.19
0Z650SO0,IC Bus CE Series,2019,LNG,10.79
  JT9M8BC6  , Freightliner M2 , 2008 , Hybrid , 20.96 
YUKT5B1Y,BYD 8TT 中国,2025,Petrol,17.4
TX57LYQ9,Nikola Tre,2006,LNG,8.81
LY3NFXF4,Nikola Tre,2016,LNG,8.96
7ZD597W5,Chevrolet Silverado 4500HD,2020,Hybrid,11.74
X012GRDM,Tesla Semi,2023,Electric,5.32
AS5DZ63M,Hino 268,2025,Diesel,13.23
SS9600Y2,Mercedes Sprinter,2011,Diesel,9.48
MC3B94KC,Thomas Saf-T-Liner,2014,Petrol,19.097557773
5BEPNPLF,Freightliner M2,2014,Electric,4.97
K4K8GNAC,Tesla Semi,2010,Hybrid,19.69
V8URID3U,Ford F-750,2026,CNG,9.83
HAXHF72B,Arrival Van,2002,Diesel,8.89
RELJTO94,Isuzu NPR,2015,Electric,4.36
7GR6LVXN,Chevrolet Silverado 4500HD,2023,LNG,11.97
SA5UZLZU,Ford F-750,2015,LNG,11.99
8JN8UH2M,Kenworth T680,2014,Petrol,17.11
Z71CZ6ET,"Freightliner M2, Heavy Duty",2005,LNG,12.85
H3O22PSR,Kenworth T680,2000,CNG,10.15
S9V7LP1L,Peterbilt 579,2014,LNG,11.53
390FLIPT,Freightliner M2,2023,LNG,12.44
   ,	, ,  , 
HOCN9J2Q,Thomas Saf-T-Liner,2022,Diesel,14.57
J9UZP8NX,Volvo VNL,2025,Petrol,17.32
TYIFJHS1,Hino 268,2002,CNG,11.63
4RV2YN9H,Tesla Semi,2024,Hybrid,20.71
2FTA08CH,Hyundai XCIENT,2018,LNG,7.44
5M77DNAS,Nikola Tre,2017,CNG,10.72
TYR47SMM,Hyundai XCIENT,2001,Diesel,14.29
OQZW,IC Bus CE Series,2018,Diesel,11.87
BHKM93W8,Blue Bird All American,2026,Petrol,16.55
HSBF2CRY,IC Bus CE Series,2016,Petrol,10.93
TSJP7RFB,Thomas Saf-T-Liner,2012,Hydrogen,13.31
,Western Star 5700XE,2012,LNG,9.83
RXBFQE8S,"Freightliner M2, Heavy Duty",2019,Hybrid,18.2
BU4I4CXG,Mack Anthem,2003,CNG,15.6
1FGMYQBR,Ram ProMaster,2025,Petrol,10.38
78LDF8,Rivian EDV,2014,Hybrid,16.89
8B890ZM8,Hino 268,2019,Diesel,7.82
Q2398NLI,Western Star 5700XE,2002,Petrol,17.71
V4GXOH4R,Western Star 5700XE,2003,LNG,8.23
Z48EGP15,Kenworth T680,2004,Diesel,5.07
3MHTBCXM,Rivian EDV,2003,Electric,5.54
MOWD1BVL,Western Star 5700XE,2000,LNG,
K504K34E,Nikola Tre,2009,LNG,11.92
D07YUIDJ,"Freightliner M2, Heavy Duty",2021,Electric,5.7
1D05AQRJ,Ram ProMaster,2009,Petrol,17.69
253OCH4K,Ram ProMaster,2025,Petrol,14.26
LT5Q4GPO,Freightliner M2,2019,Petrol,17.6798871538
8F6AACD0,"Freightliner M2, Heavy Duty",2015,Hybrid,13.25
BZQ35AW3,Thomas Saf-T-Liner,2017,Petrol,13.19
NRHUOY9O,Nikola Tre,2009,Diesel,7.75
LGO9TNTY,Peterbilt 579,2016,Diesel,12.68
CWQQ2G1K,BYD 8TT,2018,Diesel,9.78
TJGCEDQQ,Rivian EDV,2019,Hybrid,15.9
NZPW28X9,Rivian EDV,2013,Hybrid,13.87
S1NTB8EE,Blue Bird All American,2015, CNG,10.47
PZ1PYRFN,Kenworth T680,2001,Electric,N/A
1OULWOZQ,Hyundai XCIENT,2003,Petrol,16.12
48TF3TUC,Western Star 5700XE,2008,CNG,12.55
HXAY8EB8,Freightliner M2,2017,LNG,9.37
VP4GL7JV,Kenworth T680,2005,Electric,6.0
RLO9W04Q,Blue Bird All American,2019,Petrol,15.96
QPDKJLW2,Rivian EDV,2023,Electric,3.76
B739SYIE,Peterbilt 579,2023,CNG,14.68
A6T6PPYX,     ,2015,LNG,10.49
MPGNU5R6,International LT,2020,CNG,8.08
EVU2J9P1,Western Star 5700XE,2002,LNG,9.93
Q8JDXS0U,Ford Transit,2005,CNG,12.11
V4AISELN,Nikola Tre,2017,Electric,4.59
J7CEBN2K,International LT,2023,Hybrid,13.27
TTEAVT8K,Blue Bird All American,2006,CNG,11.3
YH9ZMY2M,Ram ProMaster,2018,CNG,15.97
72SEKUL7,Blue Bird All American,2001,Hybrid,-19.49
ESXCY1L5,Isuzu NPR,2023,LNG,7.67
1EN18X3L,Hino 268,2011,Petrol,17.82
8FBPSCMQ,Volvo VNL,2011,Petrol,10.62
LJYFCJSK,Thomas Saf-T-Liner,2022,LNG,12.3
8I1WR63J,Nikola Tre,2017,Electric,4.73
L2T7M7DFOXN7MJ,Ford F-750,2002,Hybrid,15.95
81ONRPOJ,IC Bus CE Series,2001,Hybrid,16.75
OXZ3YZMN,Hino 268,2014,Petrol,14.95
MJVMDXO8,Tesla Semi,2007,Diesel,5.74
AISDK0OK,Hino 268,2004,Hybrid,18.74
C0XFEVMY,Mercedes Sprinter,2024,LNG,9.6
AGEC82Y7,Western Star 5700XE,2016,Electric,4.8
H0UYHNQY,Rivian EDV,2016,Petrol,7.81
VQ52IP1W,Hyundai XCIENT,2001,Electric,5.09
OZCYWD14,BYD 8TT,2025,Diesel,6.21
ASRW7SHK,International LT,1931,Petrol,6.75
24CPHKG5,Volvo VNL,2022,diesel,8.09
OJF33,Tesla Semi,2017,CNG,9.18
1FYUHQNW,Rivian EDV,2004,Diesel,5.51
HKZMYSTT,Isuzu NPR,2008,petrol,13.32
J8O4YH6V,International LT,2025,Electric,4.68
GS6Y6AQJ,International LT,2001,LNG,7.64
QNHVYMQ1,Freightliner M2,2013,Petrol,15.9
TUDV5NI0,IC Bus CE Series,2011,LNG,13.15
7RVWZWA0,130,2001,LNG,9.14
DJ4VTRZR,Hyundai XCIENT,2003,Diesel,14.75
3UYPVSC4,Ford Transit,2007,Hybrid,17.07
EYFLPMJW,Ram ProMaster,2009,CNG,15.19
651LZVGW,Blue Bird All American,2006,LNG,12.04
P88528VL,Thomas Saf-T-Liner,2003,LNG,12.54
ZF3R5TJ4,Isuzu NPR,2017,Petrol,14.26
1YKVUBF9,Chevrolet Silverado 4500HD,2018,Diesel,11.3
XX4VDU0O,Kenworth T680,2000,LNG,11.65
NULL,Thomas Saf-T-Liner,2008,Petrol,14.12
W71T319A,Freightliner M2,2009,Hybrid,11.39
0JRX2N75,Hyundai XCIENT,2010,CNG,13.9
IBE3GQYM,Western Star 5700XE,2019,Electric,3.48
L5V32BH1,Freightliner M2,2014,Petrol,16.02
3VB9O3YT,BYD 8TT 中国,2001,CNG,13.15
NKJSQRUV,International LT,2025,Electric,2.6
1CFKO78G,Mercedes Sprinter,2012,Diesel,13.48
0FI26S7O,Thomas Saf-T-Liner,2009,Hybrid,13.12
ALLO3LUS,Arrival Van,2024,Electric,3.05
0YOHUMRE,Kenworth T680,2005,Diesel,5.84
2RB2I18A,Mack Anthem,2020,Diesel,6.12
Z248WJPI,Hino 268,2012,Hybrid,10.98
MXTMV9GY,Arrival Van,2018,Diesel,12.12
FFOFQ1RU,Kenworth T680,2021,Electric,3.66
DMM6OC6I,BYD 8TT,2007,LNG,7.85
GW3ZHOHI,IC Bus CE Series,2000,Diesel,14.19
IVD87WCD,Chevrolet Silverado 4500HD,2004,Electric,4.13
V0MW405G,Western Star 5700XE,2023,Petrol,7.31
PI1LRP1P,Rivian EDV,2022,Electric,14.23
6EWJC80R,Ford Transit,2016,1,13.31
HMF9JCGP,Hino 268,2015,Hybrid,12.86
7JC6QBDE,Ford F-750,2079,Hybrid,14.8
61JP06E0,IC Bus CE Series,2006,Electric,24.59
NB7YICYB,Nikola Tre,2016,Electric,5.94
8JOGAH68,Ford Transit,2023,CNG,12.07
DVGONI9H,Isuzu NPR,2000,Petrol,9.79
UVOB8XG0,International LT,2025,Petrol,17.77
RQR72A4I,Arrival Van,2003,CNG,13.5
9G396EG2,Tesla Semi,2006,Diesel,6.24
7LN23Y30,Arrival Van,2016,Hybrid,11.12
GIC4D9JG,Ford F-750,2006,Hybrid,19.75
JKD9UCEG,Arrival Van,2013,Electric,4.54
ZCJAACP5,Hino 268,2022,CNG,14.11
MIHUNIB5,Peterbilt 579,2000,Electric,3.44
GDKB2APP,Ford Transit,2001,Electric,4.51
8HQDE7M7,Western Star 5700XE,2011,CNG,15.33
MEXF32VD,Arrival Van,2024,Petrol,15.96
JQYF4DA5,Mack Anthem,2018,Electric,2.64
MXKF5PPI,Volvo VNL,2009,Hybrid,-14.78
K5ETGBZK,Freightliner M2,2010,CNG,12.12
PWC0II0C,Volvo VNL,2015,Petrol,17.38
NV0K1DRE,Thomas Saf-T-Liner,2007,CNG,8.37
42SIHXOD,Chevrolet Silverado 4500HD,2016,Hybrid,10.81
8XQ6TCLK,Ford F-750,2026,CNG,9.96
BCY7TXB6,Blue Bird All American,2007,CNG,13.81
BS6E9QYR,Ford F-750,2004,CNG,11.29
KX7EEDTJ,BYD 8TT,2006,Electric,5.01
4P6TU1HW,Ford Transit,2007,Hybrid,18.83
A6MVM539,Ram ProMaster,2013,Diesel,9.91
73UJS3EV,Tesla Semi,2025,LNG,8.35
KOEFUKPV,Chevrolet Silverado 4500HD,2021,CNG,15.56
00PFA3N6,Hino 268,2014,LNG,10.8
YFIAZAUN,Isuzu NPR,2019,CNG,12.59
UALR668S,Thomas Saf-T-Liner,2008,Electric,5.45
J0LXWTR1,Nikola Tre,2025,LNG,7.83
BRMR689Q,Western Star 5700XE,2007,LNG,8.5
ZUFDNU4I,Mercedes Sprinter,2021,LNG,7.65
N/A,IC Bus CE Series,2013,LNG,8.57
XQ101DBA,International LT,2017,Hybrid,16.28
A9X6CWL3,Hyundai XCIENT,2026,CNG,14.57
NBGGJEWE,Ram ProMaster,2003,Hybrid,11.58
L7ZYXMO4,BYD 8TT,2022,Petrol,12.14
7XNCMLDQ,Rivian EDV,2012,LNG,12.08
R43SFFPP,Ram ProMaster,2019,CNG,9.87
JUULUNH2,Peterbilt 579,2011,Hybrid,18.85
VYXLLQCA,Ford Transit,2020,Electric,2.51
OQG954FE,Mack Anthém,2014,CNG,9.97
RD06ZTG5,Mack Anthem,2015,Hybrid,13.2
12DZOD7C,International LT,2005,Disel,11.37
HJSOS58Y,IC Bus CE Series,2002,Electric,3.03
N30122Y9,Thomas Saf-T-Liner,2009,Electric,3.68
23N0GIY4,Arrival Van,2005,Electric,4.11
JVF9I60K,Isuzu NPR,2025,Petrol,6.65
R929BWV5,Freightliner M2,2004,Diesel,5.32
IIIIIIII,Chevrolet Silverado 4500HD,2025,Electric,4.03
EO4UB961,Rivian EDV,2002,Petrol,7.98
HA06NE27,Mercedes Sprinter,2014,Hybrid,17.78
2TS0DCF1,Mack Anthem,2004,LNG,
BTVH6ZWQ,Mack Anthem,2001,Electric,3.7
6QYVII1V,Rivian EDV,2013,LNG,12.14
NNDIOMYI,Hino 268,2012,LNG,7.61
YD3115H6,Volvo VNL,2025,CNG,15.69
  QEVXGXFE  , Hyundai XCIENT , 2022 , CNG , 9.04 
VN5I9EXI,IC Bus CE Series,2011.0,LNG,11.54
0FPI90MB,Peterbilt 579,2012,CNG,14.5
  SWRGKLSW  , Rivian EDV , 2011 , Electric , 3.04 
KT10R709,Mercedes Sprinter,2014,Diesel,14.01
TTYFQW97,Volvo VNL,2016,Electric,4.12
B4XZ3MSK,Rivian EDV,2026,Petrol,10.81
3HS0IXJI,Mack Anthem,2011,Hybrid,20.21
DX3PABPR,Blue Bird All American,2006,LNG,7.52
SRYO4RCB,Isuzu NPR,2009,Electric,2.61
R037ODN6,Chevrolet Silverado 4500HD,2016,Diesel,13.86
L15G35FB,Mack Anthem,2006,Petrol,6.39
45GSL4WN,Freightliner M2,2025,CNG,11.43
91HQ1EOH,Mercedes Sprinter,2010,LNG,13.84
CRX33PFE,Mercedes Sprinter,2002,CNG,10.37
4ZIFGYOT,Chevrolet Silverado 4500HD,2020,LNG,13.5
NAE2DWBN,Tesla Semi,2024,LNG,9.29
YV8B80C3,Volvo VNL,2009,CNG,13.15
QMFW0T2H,Volvo VNL,2019,CNG,12.6
HLZFLFXC,IC Bus CE Series,2007,CNG,9.16
I8MRNT7B,Hyundai XCIENT,2001,Petrol,14.26
18TJLNXP,International LT,2017,LNG,12.97
null,Hyundai XCIENT,2008,LNG,10.71
F1XW53ZG,IC Bus CE Series,2007,LNG,10.57
NULL,Kenworth T680,2005,Diesel,10.13
ME3GZ8KE,Peterbilt 579,2008,LNG,13.74
2Z6V5FHS,BYD 8TT,2002,Hybrid,14.8
ZBQ31M56,Hino 268,2011,CNG,12.46
VQ0GM9ID,Chevrolet Silverado 4500HD,2040,LNG,7.84
II826GYU,Mercedes Sprinter,2014,Diesel,12.69
4RBPWEL6,Volvo VNL,2025,CNG,13.31
0J1MNYW0,Arrival Van,2020,Diesel,6.66
GMYKVYGW,Mack Anthem,2025,Petrol,15.24
6N4A0MCQ,Western Star 5700XE,2004,Electric,2.73
I3CE8ZNA,Thomas Saf-T-Liner,2011,Diesel,5.54
ETBDFATO,Kenworth T680,2003,Electric,3.92
Z7VCRNFY,Hino 268,2009,Electric,2.84
MLTYZ2KS,Thomas Saf-T-Liner,2019,Electric,19
HRKMW74G,Ford F-750,2014,Hybrid,17.66
W9O01E4Z,Blue Bird All American,2005,Diesel,11.98
5CBS58Y9,Arrival Van,2015,Electric,0
DXWF6H38,Ram ProMaster,2016,CNG,11.63
RO03CINY,Ford Transit,2003,Diesel,10.67
4AKBJWTO,Rivian EDV,2013,Hybrid,19.02
FBKYOHBX,"Volvo
VNL",2000,CNG,8.65
DBQZ69ZT,BYD 8TT,2009,Hybrid,14.84
NU5Q1OSS,IC Bus CE Series,2022,Hybrid,19.61
98X16F4Z,Rivian EDV,2003,CNG,12.96
3CQ1DQ92,Blue Bird All American,2010,Diesel,11.42
H8OXENQ7,Hino 268,2022,LNG,7.21
X6RNRWJN,Tesla Semi,2010,LNG,8.43
V3XOLEYR,Nikola Tre,2005,Petrol,13.77
6FXFG468,International LT,2003,LNG,7.4
I8G9AOR9,BYD 8TT,2004,LNG,8.86
81369N0K,Nikola Tre,2013,Petrol,10.1
